JHG1,JHG2,JHG3,JHG4,JHG,CENTRE,JHGBIS,AUTO,AUTOBIS,AUTOTRIS,VOTESA,VOTEIND,VOTECH,VOTEQ,VICTOIRE,VOTEHYP1,VOTEHYP2,SEXE,AGE,SCOL,LANGUE,TRAV,PROF,REV,CODE,RELIGION,QUEBEC,IDENT,IDENTP,ESTIME,IDEOLOGI,MONDE,FRANCAIS,COMP,SPIRALE,UTILE,CHOMAGE,PROXPLQ,PROXPQ,PROXADQ,PROXRAP,POLITIS,PRESENT,PESSIMI,POLITIQU,ORIENT,PRESENCE,PARTICIP,PATRIMOI,POIDS,Q1,Q2A,Q2B,Q2C,Q2D,Q3,Q4A,Q4B,Q4C,Q4D,Q5A,Q5B,Q5C,Q6A,Q6B,Q6C,Q7A,Q7B,Q7C,Q8A,Q8B,Q8C,Q9A,Q9B,Q9C,Q10A,Q10B,Q10C,Q11,Q11R,Q12,Q13A,Q13B,Q13C,Q13D,Q13E,Q13F,Q13G,Q13H,Q14A,Q14B,Q14C,Q14D,Q14E,Q15,Q16,Q17,Q18,Q19A1,Q19A2,Q19A3,Q19A4,Q19A5,Q19A6,Q19A7,Q19A8,Q19B1,Q19B2,Q19B3,Q19B4,Q19B5,Q19B6,Q19B7,Q19B8,Q19C1,Q19C2,Q19C3,Q19C4,Q19C5,Q19C6,Q19C7,Q19C8,Q20A,Q20B,Q20C,Q20D,Q20E,Q21A,Q21B,Q21C,Q21D,Q22A,Q22B,Q22C,Q22D,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31A,Q31B,Q31C,Q31D,Q31E,Q31F,Q31G,Q31H,Q32A,Q32B,Q32C,Q32D,Q33A1,Q33A2,Q33A3,Q33B1,Q33B2,Q33B3,Q33C1,Q33C2,Q33C3,Q34A,Q34B,Q34C,Q34D,Q34E,Q34F,Q34G,Q34H,Q34I,Q35A,Q35B,Q36,Q37,Q38A,Q38B,Q38C,Q38D,Q39,Q40,Q41,Q42,Q43,Q44A,Q44B,Q44C,Q44D,Q44E,Q44F,Q44G1,Q44G2,Q45,Q46,Q47,Q48,Q49,Q50,Q51,Q52,Q53,Q54A,Q54B,Q55A,Q55B,Q55C,Q55D,Q55E,Q56,Q57,Q58,Q59,Q60,Q61,Q62,Q63A,Q63B,Q63C,Q63D,Q63E,Q63F,Q66A,Q66B,Q66C,Q66D1,Q66D2,Q66E,Q67,Q68A,Q68B,Q69,SEGMENT,Q57R,STR,NPERS3,GRAP,REGION,SEQUENCE,GRAPPE,CARTE,INTERV,TIME3,NPERS1,NPERS2,POSTAL,SEXEA,STATUT,TELPREN,TELREGN,TELSUFN,FILTER_$,NEURO2,ZONE,WTC
NON-1,NON-2,OUI-3,OUI-4,2-OUI,CENTRE,2-OUI,S06,AUTOC,CENTR,OUI-SA,OUI-IND,PROV,PQ,VOUI,OO-SA,OO-IND,FEMME,65+,PRIM,FRA,RETRAITE,,5000,450,REL--,PAYS,QUEBECOIS,IDENT-,EST-,,MOND-,FRA+,COMP--,SPIR+,INUTILE,CHOM=,PLQ-,PQ+,ADQ-,RAP-,,EGAL,PESS+,NEG+,OTT+,INT-,11.0,9.0,0.8464534011278768,Aussi bien,Plutôt accord,Plutôt désaccord,T-à-f accord,Plutôt accord,Télévision,Assez souvent,Assez souvent,Rarement,Assez souvent,Très souvent,Assez souvent,Très souvent,Rarement,Rarement,Rarement,Assez souvent,Assez souvent,Rarement,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,Assez souvent,,Très souvent,CKOI FM_____,Rock Pop (FM),Non,Pas-du-tout,Peu,Peu,Peu,Peu,Assez,Assez,Peu,Rarement,Rarement,Rarement,Rarement,,Écouter opinion,T-à-f accord,Pays,Québécois,,,,,,,,,,,,,,,,,T-à-f accord,Plutôt désaccord,Plutôt accord,Plutôt accord,T-à-f accord,T-à-f accord,Plutôt accord,Plutôt désaccord,Plutôt accord,T-à-f désaccord,Plutôt accord,T-à-f accord,T-à-f accord,,Plutôt accord,T-à-f désaccord,T-à-f désaccord,T-à-f accord,Plutôt accord,,,Pas très bien,P-d-t important,Ne sert a rien,Un peu,Détériorée,Restée la même,Va se détériorer,Va rester la même,Non,Oui,Non,Oui,Non,Oui,Non,Oui,Éloigné,Proche,Éloigné,Éloigné,P-d-t différences,P-d-t différences,P-d-t différences,Peu différences,Peu différences,Peu différences,Assez grandes,Peu différences,Assez grandes,Ottawa,Ottawa,Québec,Québec,Québec,Québec,Ottawa,Québec,Québec,,,Personnes âgées,Gouv. québécois,T-à-f accord,T-à-f désaccord,,T-à-f accord,Bonne,Baisser impots,Baisser impots,Plutôt satisfait,Classe moyenne,,Très important,Assez important,Assez important,Assez important,Assez important,Peu important,Assez important,T-à-f suffisant,En appeler peuple,S06,Oui,,Oui,,Province,Pour,PQ,,Non,Non,Non,,Oui,Change parti,57.0,Primaire,Francais,Retraité,,Moins de 10000$,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Oui,Non,Rarement,Assez,Pas-du-tout,,Centristes,6.0,2853.614457829904,1.0,1.7293103448270082,Montérégie,10615.0,1.0,0.0,700.0,  006119,2.0,1.0,J6T5Y6,F,51.0,377.0,450.0,1957.0,Selected,PQ,Cour. Sud,Après
OUI-1,OUI-2,OUI-3,OUI-4,4-OUI,NCENTRE,,,,,,,,PQ,,,,FEMME,18-24,CEGEP,FRA,ETUDES,,5000,450,,,,,,,,,,,,,,,,,,MIEUX,,,,,,,0.8464534011278768,Mieux,T-à-f désaccord,Plutôt accord,T-à-f accord,T-à-f accord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PQ,,Non,Oui,Non,Oui,Oui,Même parti,21.0,Collégial,Francais,Études,,Moins de 10000$,,,,,,,,,,,,,,,,,Non-centristes,1.0,2853.614457829904,3.0,1.7293103448270082,Montérégie,10619.0,1.0,0.0,560.0,  0641131011,3.0,0.0,J2X5K4,F,52.0,357.0,450.0,1083.0,Selected,PQ,Cour. Sud,Après
NON-1,NON-2,OUI-3,OUI-4,2-OUI,CENTRE,2-OUI,S02,AUTOF,FED,NON-SA,NON-IND,PROV,PQ,VNOUI,NN-SA,NN-IND,HOMME,45-54,CEGEP,FRA,TPLEIN,OUVRIER,55000,450,REL-,PROVINCE,C-F,IDENT++,EST=,,MOND-,FRA+,COMP+,SPIR--,UTILE,CHOM=,PLQ=,PQ+,ADQ-,RAP-,,EGAL,PESS=,POS,QUE+,INT+,10.0,8.0,1.1694404817771682,Aussi bien,Plutôt accord,Plutôt désaccord,Plutôt accord,Plutôt accord,Télévision,Assez souvent,Très souvent,Assez souvent,Rarement,Assez souvent,Assez souvent,Rarement,Rarement,Rarement,Assez souvent,Rarement,Rarement,Rarement,Rarement,Rarement,Rarement,Rarement,Rarement,Assez souvent,Rarement,Assez souvent,Assez souvent,CKMF________,Radio Énergie (FM),Oui,Beaucoup,Peu,Peu,Assez,Beaucoup,Beaucoup,Assez,Assez,Assez souvent,,Assez souvent,Assez souvent,Assez souvent,Argumenter,Plutôt désaccord,Province,Canadien français,,,,,,,,,T-à-f accord,T-à-f accord,T-à-f accord,Plutôt accord,T-à-f accord,T-à-f accord,T-à-f accord,Plutôt désaccord,,,,,,,,,T-à-f accord,T-à-f désaccord,Plutôt accord,T-à-f accord,Plutôt accord,Plutôt accord,Plutôt désaccord,Plutôt désaccord,,Plutôt accord,Plutôt désaccord,Plutôt désaccord,Plutôt accord,Assez bien,P-d-t important,Utile,Un peu,Restée la même,Restée la même,Va rester la même,Va rester la même,Non,Oui,Non,Non,Oui,Non,Oui,Non,Plus ou moins,Proche,Éloigné,Éloigné,Peu différences,,,Peu différences,,,Très grandes,,,Québec,Québec,Ottawa,Ottawa,Québec,Les deux également,Les deux également,Ottawa,Québec,Québec,Québec,,Gouv. canadien,Plutôt désaccord,Plutôt désaccord,,Plutôt accord,Bonne,Rembourser dette,Rembourser dette,Plutôt satisfait,Personne,Peu important,Assez important,Assez important,Peu important,Peu important,Assez important,Assez important,Assez important,P-d-t suffisant,En appeler peuple,S02,Non,Non,Non,Non,Province,Egalite,PQ,,Oui,Oui,Non,Oui,Oui,Même parti,44.0,Collégial,Francais,Temps plein,Ouvrier spécialisé,"50000-59,999",Non,Oui,Non,Non,Oui,Non,Oui,Non,Non,Oui,Oui,Non,Rarement,Assez,Peu,,Centristes,4.0,2853.614457829904,1.0,2.389175257732053,Montérégie,10623.0,1.0,0.0,700.0,  006264,2.0,1.0,J6S2X3,M,51.0,371.0,450.0,9960.0,Selected,PQ,Cour. Sud,Après
NON-1,NON-2,NON-3,NON-4,0-OUI,NCENTRE,,,,,,,,PLQ,,,,FEMME,18-24,SEC,NEO,TPARTIEL,MANOEUV,5000,450,,,,,,,,,,,,,,,,,,EGAL,,,,,,,0.8464534011278768,Aussi bien,T-à-f accord,Plutôt désaccord,Plutôt désaccord,Plutôt désaccord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLQ,,Non,Oui,Oui,Oui,Oui,Même parti,19.0,Secondaire,Autre,Temps partiel,Manoeuvre,Moins de 10000$,,,,,,,,,,,,,,,,,Non-centristes,1.0,2853.614457829904,2.0,1.7293103448270082,Montérégie,10634.0,1.0,0.0,580.0,  0622551011,2.0,0.0,J4L4V2,F,52.0,448.0,450.0,6455.0,Not Selected,PLQ,Cour. Sud,Après
OUI-1,OUI-2,NON-3,NON-4,2-OUI,CENTRE,2-OUI,,,,,NON-IND,PROV,PQ,VOUI,DD-SA,NN-IND,FEMME,35-44,UNIV,FRA,TPLEIN,PROFESS,45000,450,REL-,PROVINCE,QUEBECOIS,IDENT+,EST=,CC,MOND+,FRA+,COMP++,SPIR--,INUTILE,CHOM-,PLQ=,PQ=,ADQ-,RAP-,,PIRE,PESS+,NEG+,QUE+,INT-,11.0,10.0,0.8464534011278768,Moins bien,Plutôt désaccord,T-à-f accord,Plutôt désaccord,Plutôt désaccord,Journaux,Assez souvent,Assez souvent,Rarement,Rarement,Très souvent,Très souvent,Très souvent,Assez souvent,Rarement,Rarement,Jamais,Jamais,Assez souvent,Jamais,Jamais,Assez souvent,Rarement,Jamais,Très souvent,Rarement,Jamais,Très souvent,"105,7_______",Rythme FM,Oui,Assez,Assez,Peu,Assez,Assez,Peu,Assez,Pas-du-tout,Rarement,,Rarement,Rarement,Assez souvent,Argumenter,T-à-f désaccord,Province,Québécois,,,,,,,,,,,,,,,,,T-à-f accord,Plutôt accord,Plutôt accord,Plutôt accord,T-à-f accord,T-à-f accord,T-à-f accord,Plutôt désaccord,T-à-f accord,Plutôt désaccord,T-à-f désaccord,T-à-f accord,T-à-f accord,Plutôt accord,T-à-f désaccord,T-à-f accord,Plutôt accord,T-à-f désaccord,Plutôt désaccord,Plutôt désaccord,,Pas très bien,P-d-t important,Ne sert a rien,Aucun,Restée la même,Restée la même,Va se détériorer,Va rester la même,Non,Oui,Non,Oui,Oui,Oui,Non,Oui,Plus ou moins,Plus ou moins,Éloigné,Éloigné,Assez grandes,,Assez grandes,Assez grandes,,,Très grandes,,,Les deux également,Québec,Québec,Québec,Québec,Québec,Québec,Les deux également,Québec,Québec,Québec,,Gouv. québécois,T-à-f accord,T-à-f désaccord,T-à-f désaccord,T-à-f accord,Bonne,Baisser impots,Baisser impots,Plutôt satisfait,Personne,Assez important,Assez important,Assez important,Assez important,Assez important,Assez important,Assez important,Peu important,Plus ou moins,En appeler peuple,,,,Non,Non,Province,Pour,PQ,,Non,Oui,Non,Oui,,Change parti,36.0,Universitaire,Francais,Temps plein,Professionnel,"40000-49,999",Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Rarement,Assez,Assez,,Centristes,3.0,2853.614457829904,1.0,1.7293103448270082,Montérégie,10635.0,1.0,0.0,670.0,010181701011,2.0,1.0,J0L1G0,F,51.0,638.0,450.0,3303.0,Selected,PQ,Cour. Sud,Après
OUI-1,OUI-2,OUI-3,OUI-4,4-OUI,NCENTRE,,,,,,,,PQ,,,,HOMME,55-64,UNIV,FRA,TPLEIN,PROFESS,,450,,,,,,,,,,,,,,,,,,PIRE,,,,,,,1.1694404817771682,Moins bien,Plutôt désaccord,T-à-f accord,Plutôt accord,T-à-f accord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PQ,,Non,Oui,Non,Oui,Oui,Change parti,49.0,Universitaire,Francais,Temps plein,Professionnel,,,,,,,,,,,,,,,,,,Non-centristes,5.0,2853.614457829904,1.0,2.389175257732053,Montérégie,10639.0,1.0,0.0,470.0,  0680651011,2.0,1.0,J2G1A1,M,52.0,372.0,450.0,8902.0,Selected,PQ,Cour. Sud,Après
NON-1,OUI-2,OUI-3,OUI-4,3-OUI,CENTRE,3-OUI,,,,NON-SA,OUI-IND,PAYS,PQ,VOUI,NO-SA,OO-IND,HOMME,,PRIM,FRA,TPARTIEL,PROFESS,,450,REL+,PROVINCE,QUEBECOIS,IDENT++,EST-,CD,MOND+,FRA++,COMP--,SPIR--,INUTILE,CHOM-,PLQ-,PQ+,ADQ=,RAP=,POL+,PIRE,OPT++,NEG,QUE++,INT++,11.0,11.0,1.1694404817771682,Moins bien,Plutôt accord,T-à-f accord,T-à-f accord,Plutôt accord,Télévision,Assez souvent,Assez souvent,Rarement,Très souvent,Assez souvent,Assez souvent,Très souvent,Rarement,Jamais,Assez souvent,Assez souvent,Assez souvent,Très souvent,Jamais,Jamais,Rarement,Jamais,Jamais,Rarement,Assez souvent,Très souvent,Jamais,"107,3_______",Radio Rock Détente (FM),Non,Pas-du-tout,Beaucoup,Assez,Beaucoup,Beaucoup,Beaucoup,Assez,Peu,Assez souvent,Rarement,Assez souvent,Rarement,Rarement,Argumenter,T-à-f accord,Province,Québécois,,,,,,,,,,,,,,,,,T-à-f accord,Plutôt désaccord,T-à-f accord,T-à-f désaccord,T-à-f accord,Plutôt désaccord,T-à-f accord,Plutôt accord,T-à-f accord,T-à-f désaccord,T-à-f désaccord,T-à-f accord,T-à-f accord,Plutôt désaccord,T-à-f accord,T-à-f accord,Plutôt accord,Plutôt accord,T-à-f accord,Plutôt accord,Plutôt accord,Assez bien,Assez important,Ne sert a rien,Aucun,Restée la même,Restée la même,Va s'améliorer,Va s'améliorer,Non,Oui,Non,Oui,Non,Oui,Oui,Non,Éloigné,Proche,Plus ou moins,Plus ou moins,Assez grandes,Assez grandes,Très grandes,Très grandes,Très grandes,Très grandes,Assez grandes,Très grandes,Assez grandes,Québec,Québec,Québec,Ottawa,Les deux également,Les deux également,Les deux également,Québec,Ottawa,Ottawa,Les deux également,Jeunes,Gouv. canadien,T-à-f accord,T-à-f désaccord,Plutôt accord,T-à-f accord,Mauvaise,Programmes sociaux,Programmes sociaux,Plutôt insatisfait,Plus riches,Très important,Très important,Assez important,Peu important,Très important,Très important,Très important,Très important,T-à-f suffisant,Contester tribunaux,,Non,Oui,Oui,,Pays,Pour,PQ,,Non,Oui,Non,Oui,,Même parti,,Primaire,Francais,Temps partiel,Professionnel,,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Rarement,Beaucoup,Assez,,Centristes,,2853.614457829904,0.0,2.389175257732053,Montérégie,10664.0,1.0,0.0,580.0,  0620131011,2.0,0.0,J3Y8B4,M,51.0,443.0,450.0,1785.0,Selected,PQ,Cour. Sud,Après
OUI-1,OUI-2,OUI-3,OUI-4,4-OUI,NCENTRE,,,,,,,,PQ,,,,FEMME,65+,SEC,FRA,RETRAITE,,15000,450,,,,,,,,,,,,,,,,,,MIEUX,,,,,,,0.8464534011278768,Mieux,Plutôt désaccord,T-à-f accord,T-à-f accord,T-à-f accord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PQ,,Non,Oui,Non,Oui,Oui,Change parti,63.0,Secondaire,Francais,Retraité,,"10000-19,999",,,,,,,,,,,,,,,,,Non-centristes,6.0,2853.614457829904,1.0,1.7293103448270082,Montérégie,10666.0,1.0,0.0,580.0,010322151011,2.0,1.0,J4Z1H3,F,52.0,676.0,450.0,9722.0,Selected,PQ,Cour. Sud,Après
NON-1,NON-2,OUI-3,NON-4,1-OUI,CENTRE,1-OUI,,,,NON-SA,NON-IND,PROV,PLQ,VNON,NN-SA,NN-IND,HOMME,65+,UNIV,FRA,TPLEIN,MANOEUV,15000,450,REL+,PROVINCE,C-F,IDENT++,,DD,MOND=,FRA--,COMP--,SPIR+,UTILE,CHOM-,PLQ+,PQ-,ADQ-,RAP-,,MIEUX,OPT+,NEG+,OTT++,INT--,11.0,12.0,1.1694404817771682,Mieux,T-à-f accord,T-à-f désaccord,T-à-f accord,T-à-f désaccord,Journaux,Très souvent,Très souvent,Très souvent,Très souvent,Rarement,Rarement,Rarement,Rarement,Rarement,Rarement,Rarement,Rarement,Rarement,Très souvent,Très souvent,Très souvent,Assez souvent,Assez souvent,Très souvent,Très souvent,Très souvent,Très souvent,"99,5________",Radio classique CJPX,Non,Peu,Pas-du-tout,Peu,Beaucoup,Beaucoup,Beaucoup,Beaucoup,Pas-du-tout,,Rarement,Rarement,Assez souvent,Jamais,Écouter opinion,T-à-f accord,Province,Canadien français,,,,,,,,,T-à-f accord,T-à-f accord,T-à-f accord,T-à-f désaccord,T-à-f accord,T-à-f accord,T-à-f accord,Nsp,,,,,,,,,T-à-f désaccord,T-à-f désaccord,T-à-f accord,Plutôt désaccord,T-à-f désaccord,T-à-f accord,T-à-f accord,T-à-f accord,T-à-f accord,T-à-f accord,T-à-f accord,T-à-f accord,T-à-f accord,Assez bien,P-d-t important,Utile,Aucun,Améliorée,Améliorée,Va rester la même,Va s'améliorer,Non,Oui,Non,Oui,Non,Oui,Non,Oui,Proche,Éloigné,Éloigné,Éloigné,Peu différences,Peu différences,Peu différences,Peu différences,Peu différences,Peu différences,Très grandes,Peu différences,Peu différences,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa,Québec,Ottawa,Ottawa,,Gouv. canadien,T-à-f accord,T-à-f accord,Plutôt désaccord,T-à-f accord,Mauvaise,Baisser impots,Baisser impots,T-à-f insatisfait,Plus riches,Très important,Très important,P-d-t important,Assez important,P-d-t important,P-d-t important,P-d-t important,P-d-t important,P-d-t suffisant,En appeler peuple,,Non,Non,Non,Non,Province,Contre,PLQ,,Oui,Oui,Non,Non,Non,Même parti,61.0,Universitaire,Francais,Temps plein,Manoeuvre,"10000-19,999",Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Jamais,Beaucoup,Beaucoup,,Centristes,6.0,2853.614457829904,1.0,2.389175257732053,Montérégie,10669.0,1.0,0.0,460.0,01012152,1.0,0.0,J0E1V0,M,51.0,538.0,450.0,3758.0,Selected,PQ,Cour. Sud,Après
NON-1,OUI-2,OUI-3,OUI-4,3-OUI,CENTRE,3-OUI,S07,AUTOS,SOUV,OUI-SA,OUI-IND,PAYS,PQ,VOUI,OO-SA,OO-IND,HOMME,55-64,SEC,FRA,TPLEIN,MANOEUV,15000,450,REL++,,QUEBECOIS,IDENT++,,,,FRA+,COMP++,SPIR++,UTILE,CHOM-,PLQ-,PQ+,ADQ-,,,PIRE,PESS+,POS+,QUE++,INT+,12.0,12.0,1.1694404817771682,Moins bien,Plutôt accord,Plutôt accord,T-à-f accord,T-à-f accord,Télévision,Assez souvent,Très souvent,Jamais,Jamais,Rarement,Rarement,Rarement,Rarement,Rarement,Rarement,Rarement,Rarement,Rarement,Rarement,Rarement,Rarement,Rarement,Rarement,Rarement,Assez souvent,Rarement,Très souvent,"107,5",Radio Rock Détente (FM),Non,Beaucoup,Peu,Peu,Beaucoup,Beaucoup,Beaucoup,Beaucoup,Beaucoup,,Rarement,Rarement,Rarement,Rarement,Finir conversation,T-à-f désaccord,Tous,Québécois,,,,,,,,,,,,,,,,,T-à-f accord,T-à-f accord,T-à-f accord,T-à-f désaccord,T-à-f accord,T-à-f accord,T-à-f accord,Nsp,T-à-f accord,T-à-f désaccord,Plutôt accord,T-à-f accord,Plutôt accord,T-à-f accord,T-à-f accord,Plutôt accord,,,T-à-f accord,T-à-f accord,,Assez bien,Très important,Utile,Aucun,Restée la même,Restée la même,Va se détériorer,Va rester la même,Oui,Oui,Oui,Non,Oui,Non,Oui,Oui,Éloigné,Proche,Éloigné,,Très grandes,Peu différences,Peu différences,P-d-t différences,P-d-t différences,P-d-t différences,P-d-t différences,Peu différences,Peu différences,Québec,Québec,Québec,Québec,Québec,Québec,Québec,Québec,Québec,Ottawa,Ottawa,Personnes âgées,Gouv. québécois,T-à-f désaccord,T-à-f accord,Plutôt accord,Plutôt désaccord,Bonne,Baisser impots,Baisser impots,Plutôt satisfait,Personne,Très important,Très important,Très important,Très important,Très important,Très important,Assez important,Assez important,Plus ou moins,En appeler peuple,S07,Oui,,Oui,,Pays,Pour,PQ,,Non,Oui,Non,Oui,Oui,Même parti,45.0,Secondaire,Francais,Temps plein,Manoeuvre,"10000-19,999",Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Quelques fois/an,Beaucoup,Beaucoup,,Centristes,5.0,2853.614457829904,0.0,2.389175257732053,Montérégie,10670.0,1.0,0.0,670.0,01018462,2.0,2.0,J6J1A7,M,51.0,699.0,450.0,931.0,Selected,PQ,Cour. Sud,Après
OUI-1,OUI-2,OUI-3,OUI-4,4-OUI,NCENTRE,,,,,,,,PQ,,,,FEMME,35-44,CEGEP,FRA,TPLEIN,PROFESS,25000,450,,,,,,,,,,,,,,,,,,MIEUX,,,,,,,0.8464534011278768,Mieux,Plutôt désaccord,Plutôt accord,Plutôt accord,Plutôt accord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PQ,,Non,Oui,Non,Oui,Oui,Change parti,39.0,Collégial,Francais,Temps plein,Professionnel,20000-29999,,,,,,,,,,,,,,,,,Non-centristes,3.0,2853.614457829904,1.0,1.7293103448270082,Montérégie,10672.0,1.0,0.0,670.0,  0320591011,2.0,1.0,J5R5A8,F,52.0,659.0,450.0,5801.0,Selected,PQ,Cour. Sud,Après
NON-1,,OUI-3,,,,,,,,,OUI-IND,,PQ,VOUI,DO-SA,OO-IND,FEMME,,SEC,FRA,RETRAITE,,15000,450,REL++,PROVINCE,QUEBECOIS,IDENT--,,,MOND+,FRA++,COMP-,SPIR+,UTILE,CHOM-,PLQ-,PQ+,ADQ+,RAP-,,MIEUX,,,OTT+,INT+,11.0,9.0,0.8464534011278768,Mieux,T-à-f accord,,Plutôt accord,,Journaux,Assez souvent,Assez souvent,Assez souvent,Assez souvent,Assez souvent,Assez souvent,Très souvent,Rarement,Rarement,Assez souvent,Rarement,Rarement,Rarement,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,Très souvent,,Rarement,"105,7_______",Rythme FM,Oui,Peu,Peu,Beaucoup,Assez,Assez,Peu,Peu,Peu,Jamais,Rarement,Jamais,Rarement,,Écouter opinion,Plutôt accord,Province,Québécois,,,,,,,,,,,,,,,,,Plutôt accord,Plutôt accord,Plutôt accord,T-à-f désaccord,Plutôt accord,Nsp,T-à-f accord,T-à-f accord,T-à-f accord,T-à-f désaccord,T-à-f désaccord,T-à-f accord,T-à-f accord,T-à-f accord,T-à-f accord,,,T-à-f désaccord,Plutôt accord,,,Assez bien,Assez important,Utile,Aucun,Restée la même,Restée la même,,Va rester la même,Non,Oui,Non,Oui,,,Non,Oui,Éloigné,Proche,Proche,Éloigné,Peu différences,Peu différences,Peu différences,Peu différences,,,Assez grandes,Peu différences,,Les deux également,Québec,Ottawa,Les deux également,Les deux également,Les deux également,Les deux également,Les deux également,Québec,,Ottawa,Défavorisés,Gr. communautaires,Plutôt accord,T-à-f accord,,Plutôt accord,Bonne,Baisser impots,Baisser impots,Plutôt satisfait,,Assez important,Assez important,Assez important,Assez important,,Assez important,Assez important,Assez important,Plus ou moins,,,,Oui,Oui,,,Pour,PQ,,Oui,,Oui,,Oui,Même parti,,Secondaire,Francais,Retraité,,"10000-19,999",Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Oui,Oui,Non,Quelques fois/an,Beaucoup,Beaucoup,,Centristes,,2853.614457829904,0.0,1.7293103448270082,Montérégie,10674.0,1.0,0.0,580.0,  0322171011,2.0,0.0,J4Z1L8,F,51.0,676.0,450.0,2303.0,Selected,PLQ,Cour. Sud,Après
